TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK1 | -0.01584427617713058
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK2 | -0.0011359894687169025
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK3 | -0.0025074166103049855
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK4 | -0.0011740881326690322
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK5 | 0.00075127259017993
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK6 | -0.00018164179825091997
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK7 | 0.000683030381180616
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK8 | -0.0009073038935895339
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK1 | 0.0032577872319947687
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK2 | 0.01877525129941085
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK3 | 0.020546493518179332
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK4 | 0.02371283577856581
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK5 | 0.023398588108697216
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK6 | 0.02356831655130648
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK7 | 0.023280378825524417
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK8 | 0.021800127140075815
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK1 | 0.0019027675064420824
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK2 | 0.011914968848606683
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK3 | 0.02070469720872281
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK4 | 0.018938012295772605
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK5 | 0.01780672080034154
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK6 | 0.01752643693823447
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK7 | 0.017755595898487214
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK8 | 0.01809413504813398
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA0.8 | WEEK0 | nan
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA0.8 | WEEK1 | 0.021580080036937094
