TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK0 | 0.2225071031846255
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK1 | 0.20982143935133704
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK2 | 0.2124804757293513
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK3 | 0.21439484894493677
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK4 | 0.21381828717039078
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK5 | 0.2119848549224573
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK6 | 0.21257421380951325
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK7 | 0.2120153052098724
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA1.0 | WEEK8 | 0.21315396986677856
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK0 | 0.2041997751042041
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK1 | 0.18847569384040005
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK2 | 0.18983366492359313
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK3 | 0.19180190561579016
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK4 | 0.1890673384558883
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK5 | 0.1894264323897403
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK6 | 0.18982985027356922
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK7 | 0.1895752305990566
TPdef | PLNONE | CFNONE | SONONE | QU0 | MA0.8 | WEEK8 | 0.19055743022051258
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK0 | 0.2114242192309957
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK1 | 0.18945154671801068
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK2 | 0.19662133173102747
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK3 | 0.19486619587278062
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK4 | 0.19530904249764394
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK5 | 0.19559597110496285
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK6 | 0.1944938102554054
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK7 | 0.19476714287506064
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA1.0 | WEEK8 | 0.19406289622267028
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA0.8 | WEEK0 | 0.19280170193286647
TPdef | PLNONE | CFNONE | SONONE | QU2 | MA0.8 | WEEK1 | 0.16976601011116768
